Athlete.ID,Gold.Years,Gold.Seasons,Gold.Sports,Gold.Events,Golds,Fract.Gold,Athlete,Sex,Height,Weight,Born,Died,Birth.Date,Death.Date,NOC,Source,Notes
147302,2020,Summer,Water Polo,"Water Polo, Women",1,0.076923077,Paige Hauschild,Female,NA,NA,"Santa Barbara, California (USA)",,8/17/1999,NA,United States,https://en.wikipedia.org/wiki/Paige_Hauschild,
147303,2020,Summer,Water Polo,"Water Polo, Women",1,0.076923077,Stephania Haralabidis,Female,NA,NA,"Athens, Greece (GRE)",,5/19/1995,NA,United States,https://en.wikipedia.org/wiki/Stephania_Haralabidis,
147314,2020,Summer,Athletics,"4 x 400 metres Relay, Men",1,0.142857143,Bryce Deadmon,Male,NA,NA,"Missouri City, Texas (USA)",,3/26/1997,NA,United States,https://en.wikipedia.org/wiki/Bryce_Deadmon,
147347,2020,Summer,Athletics,"4 x 400 metres Relay, Men",1,0.142857143,Randolph Ross,Male,NA,NA,"Raleigh, North Carolina (USA)",,1/1/2001,NA,United States,https://en.wikipedia.org/wiki/Randolph_Ross,
147354,2020,Summer,Athletics,"4 x 400 metres Relay, Men",1,0.142857143,Trevor Stewart,Male,NA,NA,"Lorton, Virginia (USA)",,5/20/1997,NA,United States,https://en.wikipedia.org/wiki/Trevor_Stewart_(sprinter),
147465,2020,Summer,Swimming,"4 x 100 metres Medley Relay, Men",1,0.125,Andrew Wilson,Male,NA,NA,"London, England (GBR)",,9/16/1993,NA,United States,https://en.wikipedia.org/wiki/Andrew_Wilson_(swimmer),
147466,2020,Summer,Swimming,"4 x 100 metres Freestyle Relay, Men",1,0.2,Bowe Becker,Male,NA,NA,"Chicago, Illinois (USA)",,7/7/1997,NA,United States,https://nevadasportsnet.com/sports/olympics/bowe-beckers-unlikely-path-to-an-olympic-gold-medal-shows-anythings-possible,"Born in Chicago, grew up in Nevada"
147467,2020,Summer,Swimming,"4 x 100 metres Freestyle Relay, Men",1,0.2,Brooks Curry,Male,NA,NA,"Dunwoody, Georgia (USA)",,1/22/2001,NA,United States,https://en.wikipedia.org/wiki/Brooks_Curry,
147471,2020,Summer,Swimming,"4 x 100 metres Medley Relay, Men",1,0.125,Hunter Armstrong,Male,NA,NA,"Dover, Ohio (USA)",,1/24/2001,NA,United States,https://en.wikipedia.org/wiki/Hunter_Armstrong,
147477,2020,Summer,Swimming,"800 metres Freestyle, Men | 1,500 metres Freestyle, Men",2,2,Bobby Finke,Male,NA,NA,"Tampa, Florida (USA)",,11/6/1999,NA,United States,https://en.wikipedia.org/wiki/Robert_Finke,
147506,2020,Summer,Wrestling,"Super-Heavyweight, Freestyle, Men",1,1,Gable Steveson,Male,NA,NA,"Portage, Indiana (USA)",,5/31/2000,NA,United States,http://www.olympedia.org/athletes/147506,
2506221,2020,Summer,Taekwondo,"Featherweight, Women",1,1,Anastasija Zolotic,Female,180,NA,"Largo, Florida (USA)",,11/23/2002,NA,United States,https://en.wikipedia.org/wiki/Anastasija_Zolotic,
18271,1904,Summer,Tug-Of-War,"Tug-Of-War, Men",1,0.2,Sid Johnson,Male,NA,NA,"Chicago, Illinois (USA)",,NA,NA,United States,https://www.olympedia.org/athletes/18271,"""Like all the members of that team, he was actually from Chicago."""
18283,1904,Summer,Tug-Of-War,"Tug-Of-War, Men",1,0.2,Henry Seiling,Male,NA,NA,"Chicago, Illinois (USA)",,NA,NA,United States,https://www.olympedia.org/athletes/18271,"""Like all the members of that team, he was actually from Chicago."""
80399,1904,Summer,Tug-Of-War,"Tug-Of-War, Men",1,0.2,Pat Flanagan,Male,NA,NA,"Chicago, Illinois (USA)",,NA,NA,United States,https://www.olympedia.org/athletes/18271,"""Like all the members of that team, he was actually from Chicago."""
